;Espece;Genre;Sous-Famille;Famille;Ordre
1;Acasis viretata;Acasis;Larentiinae;Geometridae;Lepidoptera
2;Acleris holmiana;Acleris;Tortricinae;Tortricidae;Lepidoptera
3;Acleris variegana;Acleris;Tortricinae;Tortricidae;Lepidoptera
4;Acontia lucida;Acontia;Acontiinae;Noctuidae;Lepidoptera
5;Acrobasis glaucella;Acrobasis;Phycitinae;Pyralidae;Lepidoptera
6;Agapeta hamana;Agapeta;Tortricinae;Tortricidae;Lepidoptera
7;Agapeta zoegana;Agapeta;Tortricinae;Tortricidae;Lepidoptera
8;Agrotis exclamationis;Agrotis;Noctuinae;Noctuidae;Lepidoptera
9;Agrotis puta;Agrotis;Noctuinae;Noctuidae;Lepidoptera
10;Aleimma loeflingiana;Aleimma;Tortricinae;Tortricidae;Lepidoptera
11;Anania hortulata;Anania;Pyraustinae;Crambidae;Lepidoptera
12;Angerona prunaria;Angerona;Ennominae;Geometridae;Lepidoptera
13;Apamea crenata;Apamea;Noctuinae;Noctuidae;Lepidoptera
14;Aphomia sociella;Aphomia;Galleriinae;Pyralidae;Lepidoptera
15;Aplocera plagiata;Aplocera;Larentiinae;Geometridae;Lepidoptera   
16;Apoda limacodes;Apoda;;Limacodidae;Lepidoptera
17;Archips xylosteana;Archips;Tortricinae;Tortricidae;Lepidoptera
18;Arctia villica;Arctia;Arctiinae;Erebidae;Lepidoptera
19;Arctornis L-nigrum;Arctornis;Lymantriinae;Erebidae;Lepidoptera
20;Atethmia centrago;Atethmia;Noctuinae;Noctuidae;Lepidoptera
21;Biston betularia;Biston;Ennominae;Geometridae;Lepidoptera
22;Callimorpha quadripunctaria;Callimorpha;Arctiinae;Erebidae;Lepidoptera
23;Campaea margaritaria;Campaea;Ennominae;Geometridae;Lepidoptera
24;Camptogramma bilineata;Camptogramma;Larentiinae;Geometridae;Lepidoptera
25;Carcina quercana;Carcina;Peleopodinae;Depressariidae;Lepidoptera
26;Celypha striana;Celypha;Olethreutiniae;Tortricidae;Lepidoptera
27;Chiasmia clathrata;Chiasmia;Ennominae;Geometridae;Lepidoptera
28;Chrysocrambus linetellus;Chrysocrambus;Crambinae;Crambidae;Lepidoptera
29;Chrysoteuchia culmella;Chrysoteuchia;Crambinae;Crambidae;Lepidoptera
30;Colocasia coryli;Colocasia;Pantheinae;Noctuidae;Lepidoptera
31;Cosmia trapezina;Cosmia;Noctuinae;Noctuidae;Lepidoptera
32;Crambus lathoniellus;Crambus;Crambinae;Crambidae;Lepidoptera
33;Crambus pascuella;Crambus;Crambinae;Crambidae;Lepidoptera
34;Craniophora ligustri;Craniophora;Acronictinae;Noctuidae;Lepidoptera
35;Cryphia algae;Cryphia;Bryophilinae;Drepanidae;Lepidoptera
36;Cryphia muralis;Cryphia;Bryophilinae;Noctuidae;Lepidoptera
37;Cyclophora punctaria;Stauropus;Sterrhinae;Geometridae;Lepidoptera
38;Cydalima perspectalis;Cydalima;Spilomelinae;Crambidae;Lepidoptera
39;Cydia triangulella;Cydia;Olethreutinae;Tortricidae;Lepidoptera
40;Dolicharthria punctalis;Dolicharthria;Spilomelinae;Crambidae;Lepidoptera
41;Dysgonia algira;Dysgonia;Erebinae;Noctuidae;Lepidoptera
42;Ecleora solieraria;Ecleora;Ennominae;Geometridae;Lepidoptera
43;Ecpyrrhorrhoe rubiginalis;Ecpyrrhorrhoe;Pyraustinae;Crambidae;Lepidoptera
44;Eilema caniola;Eilema;Arctiinae;Erebidae;Lepidoptera
45;Eilema complana;Eilema;Arctiinae;Erebidae;Lepidoptera
46;Eilema griseola;Eilema;Arctiinae;Erebidae;Lepidoptera
47;Eilema lurideola;Eilema;Arctiinae;Erebidae;Lepidoptera
48;Elophila lemnata;Elophila;Acentropinae;Crambidae;Lepidoptera
49;Emmelia trabealis;Emmelia;Acontiinae;Noctuidae;Lepidoptera
50;Endotricha flammealis;Endotricha;Pyralinae;Pyralidae;Lepidoptera
51;Ennomos erosaria;Ennomos;Ennominae;Geometridae;Lepidoptera
52;Epiblema foenella;Epiblema;Olethreutiniae;Tortricidae;Lepidoptera
53;Epirrhoe alternata;Epirrhoe;Larentiinae;Geometridae;Lepidoptera
54;Epirrhoe galiata;Epirrhoe;Larentiinae;Geometridae;Lepidoptera
55;Eremobia ochroleuca;Eremobia;Noctuinae;Noctuidae;Lepidoptera
56;Ethmia bipunctella;Ethmia;Ethmiinae;Ethmiidae;Lepidoptera
57;Eublemma parva;Eublemma;Boletobiinae;Erebidae;Lepidoptera
58;Eucrostes indigenata;Eucrostes;Geometrinae;Geometridae;Lepidoptera
59;Eudonia lacustrata;Eudonia;Scopariinae;Crambidae;Lepidoptera
60;Eudonia mercurella;Eudonia;Scopariinae;Crambidae;Lepidoptera
61;Eupithecia centaureata;Eupithecia;Larentiinae;Geometridae;Lepidoptera
62;Euproctis chrysorrhoea;Euproctis;Lymantriinae;Erebidae;Lepidoptera
63;Euprotis similis;Euproctis;Lymantriinae;Erebidae;Lepidoptera
64;Euthrix potatoria;Euthrix;Lasiocampinae;Lasiocampidae;Lepidoptera
65;Euxoa obelisca;Euxoa;Noctuinae;Noctuidae;Lepidoptera
66;Evergestis forficalis;Evergestis;Glaphyriinae;Crambidae;Lepidoptera
67;Falcaria lacertinaria;Falcaria;Depraninae;Noctuidae;Lepidoptera
68;Gastropacha quercifolia;Gastropacha;Lasiocampinae;Lasiocampidae;Lepidoptera
