,species,genus,family,subfamily,tribe
1,Bombus argillaceus,Bombus,Apidae,Apinae,Bombini
2,Bombus bohemicus,Bombus,Apidae,Apinae,Bombini
3,Bombus campestris,Bombus,Apidae,Apinae,Bombini
4,Bombus hortorum,Bombus,Apidae,Apinae,Bombini
5,Bombus humilis,Bombus,Apidae,Apinae,Bombini
6,Bombus hypnorum,Bombus,Apidae,Apinae,Bombini
7,Bombus lapidarius,Bombus,Apidae,Apinae,Bombini
8,Bombus lucorum,Bombus,Apidae,Apinae,Bombini
9,Bombus muscorum,Bombus,Apidae,Apinae,Bombini
10,Bombus pascuorum,Bombus,Apidae,Apinae,Bombini
11,Bombus pratorum,Bombus,Apidae,Apinae,Bombini
12,Bombus ruderatus,Bombus,Apidae,Apinae,Bombini
13,Bombus rupestris,Bombus,Apidae,Apinae,Bombini
14,Bombus sylvarum,Bombus,Apidae,Apinae,Bombini
15,Bombus terrestris lusitanicus,Bombus,Apidae,Apinae,Bombini
16,Bombus vestalis,Bombus,Apidae,Apinae,Bombini
